x0,y0,x1,y1,realSeparation,desiredSeparation,pairHeadingAngle,desiredOrientation,time,frequency
248 , 268 , 363 , 269 , 115.004 , 120.0 , -0.498 , 0.0 , 2.72 , 39.991
248 , 267 , 363 , 269 , 115.017 , 120.0 , -0.996 , 0.0 , 2.737 , 39.965
248 , 267 , 363 , 270 , 115.039 , 120.0 , -1.494 , 0.0 , 2.772 , 39.922
249 , 267 , 363 , 270 , 114.039 , 120.0 , -1.507 , 0.0 , 2.788 , 41.921
248 , 266 , 363 , 270 , 115.07 , 120.0 , -1.992 , 0.0 , 2.804 , 39.861
249 , 265 , 363 , 270 , 114.11 , 120.0 , -2.511 , 0.0 , 2.82 , 41.781
248 , 265 , 363 , 271 , 115.156 , 120.0 , -2.987 , 0.0 , 2.838 , 39.687
249 , 265 , 363 , 271 , 114.158 , 120.0 , -3.013 , 0.0 , 2.87 , 41.684
249 , 264 , 363 , 271 , 114.215 , 120.0 , -3.514 , 0.0 , 2.888 , 41.571
249 , 264 , 363 , 272 , 114.28 , 120.0 , -4.014 , 0.0 , 2.904 , 41.439
249 , 264 , 362 , 272 , 113.283 , 120.0 , -4.05 , 0.0 , 2.92 , 43.434
248 , 263 , 362 , 272 , 114.355 , 120.0 , -4.514 , 0.0 , 2.936 , 41.291
248 , 263 , 363 , 272 , 115.352 , 120.0 , -4.475 , 0.0 , 2.97 , 39.297
248 , 263 , 362 , 273 , 114.438 , 120.0 , -5.013 , 0.0 , 2.989 , 41.124
248 , 263 , 362 , 272 , 114.355 , 120.0 , -4.514 , 0.0 , 3.004 , 41.291
248 , 263 , 363 , 273 , 115.434 , 120.0 , -4.97 , 0.0 , 3.021 , 39.132
248 , 263 , 362 , 273 , 114.438 , 120.0 , -5.013 , 0.0 , 3.037 , 41.124
248 , 263 , 362 , 272 , 114.355 , 120.0 , -4.514 , 0.0 , 3.053 , 41.291
248 , 263 , 362 , 273 , 114.438 , 120.0 , -5.013 , 0.0 , 3.087 , 41.124
247 , 263 , 362 , 273 , 115.434 , 120.0 , -4.97 , 0.0 , 3.136 , 39.132
247 , 262 , 361 , 274 , 114.63 , 120.0 , -6.009 , 0.0 , 3.153 , 40.74
247 , 262 , 362 , 274 , 115.624 , 120.0 , -5.957 , 0.0 , 3.169 , 38.751
246 , 262 , 362 , 275 , 116.726 , 120.0 , -6.394 , 0.0 , 3.186 , 36.548
246 , 262 , 363 , 275 , 117.72 , 120.0 , -6.34 , 0.0 , 3.219 , 34.56
246 , 263 , 363 , 275 , 117.614 , 120.0 , -5.856 , 0.0 , 3.236 , 34.772
245 , 263 , 364 , 275 , 119.604 , 120.0 , -5.758 , 0.0 , 3.254 , 30.793
245 , 263 , 364 , 274 , 119.507 , 120.0 , -5.281 , 0.0 , 3.269 , 30.985
245 , 263 , 364 , 273 , 119.419 , 120.0 , -4.803 , 0.0 , 3.319 , 31.161
244 , 264 , 364 , 273 , 120.337 , 120.0 , -4.289 , 0.0 , 3.352 , 29.326
244 , 264 , 364 , 272 , 120.266 , 120.0 , -3.814 , 0.0 , 3.387 , 29.467
244 , 265 , 363 , 272 , 119.206 , 120.0 , -3.366 , 0.0 , 3.459 , 31.589
244 , 264 , 364 , 271 , 120.204 , 120.0 , -3.338 , 0.0 , 3.468 , 29.592
