x0,y0,x1,y1,realSeparation,desiredSeparation,pairHeadingAngle,desiredOrientation,time,frequency
256 , 264 , 369 , 297 , 117.72 , 120.0 , -16.28 , 0.0 , 2.16 , 34.56
256 , 264 , 368 , 297 , 116.76 , 120.0 , -16.417 , 0.0 , 2.175 , 36.479
256 , 264 , 369 , 297 , 117.72 , 120.0 , -16.28 , 0.0 , 2.213 , 34.56
256 , 264 , 369 , 296 , 117.444 , 120.0 , -15.811 , 0.0 , 2.225 , 35.113
256 , 265 , 369 , 296 , 117.175 , 120.0 , -15.341 , 0.0 , 2.243 , 35.65
255 , 265 , 369 , 296 , 118.14 , 120.0 , -15.213 , 0.0 , 2.258 , 33.721
255 , 265 , 370 , 296 , 119.105 , 120.0 , -15.086 , 0.0 , 2.275 , 31.79
255 , 266 , 370 , 296 , 118.849 , 120.0 , -14.621 , 0.0 , 2.346 , 32.303
255 , 266 , 371 , 295 , 119.57 , 120.0 , -14.036 , 0.0 , 2.358 , 30.86
256 , 266 , 371 , 296 , 118.849 , 120.0 , -14.621 , 0.0 , 2.391 , 32.303
255 , 266 , 371 , 295 , 119.57 , 120.0 , -14.036 , 0.0 , 2.41 , 30.86
255 , 267 , 371 , 294 , 119.101 , 120.0 , -13.103 , 0.0 , 2.441 , 31.798
256 , 268 , 371 , 293 , 117.686 , 120.0 , -12.265 , 0.0 , 2.458 , 34.628
257 , 268 , 370 , 293 , 115.732 , 120.0 , -12.475 , 0.0 , 2.474 , 38.535
257 , 267 , 369 , 294 , 115.209 , 120.0 , -13.554 , 0.0 , 2.491 , 39.583
256 , 267 , 370 , 294 , 117.154 , 120.0 , -13.325 , 0.0 , 2.524 , 35.693
255 , 267 , 370 , 295 , 118.36 , 120.0 , -13.684 , 0.0 , 2.558 , 33.281
255 , 267 , 371 , 295 , 119.331 , 120.0 , -13.57 , 0.0 , 2.575 , 31.337
255 , 267 , 372 , 294 , 120.075 , 120.0 , -12.995 , 0.0 , 2.608 , 29.85
255 , 268 , 372 , 294 , 119.854 , 120.0 , -12.529 , 0.0 , 2.624 , 30.292
254 , 268 , 372 , 294 , 120.83 , 120.0 , -12.426 , 0.0 , 2.642 , 28.339
255 , 268 , 372 , 294 , 119.854 , 120.0 , -12.529 , 0.0 , 2.658 , 30.292
254 , 268 , 373 , 293 , 121.598 , 120.0 , -11.864 , 0.0 , 2.674 , 26.805
254 , 269 , 373 , 293 , 121.396 , 120.0 , -11.402 , 0.0 , 2.707 , 27.208
253 , 269 , 373 , 293 , 122.376 , 120.0 , -11.31 , 0.0 , 2.725 , 25.247
253 , 269 , 374 , 292 , 123.167 , 120.0 , -10.763 , 0.0 , 2.741 , 23.667
253 , 269 , 373 , 292 , 122.184 , 120.0 , -10.85 , 0.0 , 2.759 , 25.631
253 , 269 , 374 , 292 , 123.167 , 120.0 , -10.763 , 0.0 , 2.775 , 23.667
253 , 269 , 375 , 292 , 124.149 , 120.0 , -10.676 , 0.0 , 2.79 , 21.702
252 , 270 , 374 , 291 , 123.794 , 120.0 , -9.767 , 0.0 , 2.808 , 22.412
252 , 270 , 374 , 292 , 123.968 , 120.0 , -10.222 , 0.0 , 2.862 , 22.065
253 , 270 , 375 , 291 , 123.794 , 120.0 , -9.767 , 0.0 , 2.875 , 22.412
253 , 271 , 375 , 291 , 123.628 , 120.0 , -9.31 , 0.0 , 2.89 , 22.743
252 , 271 , 375 , 291 , 124.615 , 120.0 , -9.236 , 0.0 , 2.907 , 20.769
252 , 272 , 375 , 290 , 124.31 , 120.0 , -8.326 , 0.0 , 2.958 , 21.38
252 , 273 , 376 , 290 , 125.16 , 120.0 , -7.806 , 0.0 , 3.007 , 19.68
252 , 273 , 375 , 289 , 124.036 , 120.0 , -7.411 , 0.0 , 3.024 , 21.927
252 , 273 , 376 , 290 , 125.16 , 120.0 , -7.806 , 0.0 , 3.064 , 19.68
252 , 274 , 376 , 289 , 124.904 , 120.0 , -6.897 , 0.0 , 3.073 , 20.192
253 , 275 , 376 , 288 , 123.685 , 120.0 , -6.033 , 0.0 , 3.123 , 22.63
252 , 275 , 376 , 288 , 124.68 , 120.0 , -5.985 , 0.0 , 3.139 , 20.641
252 , 275 , 376 , 287 , 124.579 , 120.0 , -5.528 , 0.0 , 3.172 , 20.841
253 , 276 , 376 , 287 , 123.491 , 120.0 , -5.11 , 0.0 , 3.225 , 23.018
252 , 276 , 376 , 287 , 124.487 , 120.0 , -5.069 , 0.0 , 3.241 , 21.026
253 , 276 , 375 , 287 , 122.495 , 120.0 , -5.152 , 0.0 , 3.256 , 25.01
253 , 276 , 376 , 287 , 123.491 , 120.0 , -5.11 , 0.0 , 3.272 , 23.018
253 , 276 , 376 , 286 , 123.406 , 120.0 , -4.648 , 0.0 , 3.291 , 23.188
254 , 277 , 375 , 286 , 121.334 , 120.0 , -4.254 , 0.0 , 3.309 , 27.332
253 , 277 , 375 , 286 , 122.332 , 120.0 , -4.219 , 0.0 , 3.322 , 25.337
254 , 278 , 374 , 285 , 120.204 , 120.0 , -3.338 , 0.0 , 3.339 , 29.592
255 , 278 , 374 , 285 , 119.206 , 120.0 , -3.366 , 0.0 , 3.355 , 31.589
254 , 278 , 374 , 285 , 120.204 , 120.0 , -3.338 , 0.0 , 3.372 , 29.592
255 , 279 , 374 , 285 , 119.151 , 120.0 , -2.886 , 0.0 , 3.389 , -31.698
254 , 279 , 374 , 285 , 120.15 , 120.0 , -2.862 , 0.0 , 3.406 , -29.7
254 , 279 , 373 , 285 , 119.151 , 120.0 , -2.886 , 0.0 , 3.422 , -31.698
254 , 280 , 373 , 285 , 119.105 , 120.0 , -2.406 , 0.0 , 3.474 , -31.79
255 , 280 , 373 , 286 , 118.152 , 120.0 , -2.911 , 0.0 , 3.505 , -33.695
255 , 281 , 373 , 285 , 118.068 , 120.0 , -1.941 , 0.0 , 3.523 , -33.864
256 , 282 , 371 , 284 , 115.017 , 120.0 , -0.996 , 0.0 , 3.539 , -39.965
255 , 282 , 372 , 283 , 117.004 , 120.0 , -0.49 , 0.0 , 3.555 , -35.991
256 , 282 , 372 , 283 , 116.004 , 120.0 , -0.494 , 0.0 , 3.575 , -37.991
256 , 282 , 372 , 282 , 116.0 , 120.0 , 0.0 , 0.0 , 3.589 , -38.0
256 , 283 , 371 , 282 , 115.004 , 120.0 , 0.498 , 0.0 , 3.604 , -39.991
256 , 283 , 371 , 281 , 115.017 , 120.0 , 0.996 , 0.0 , 3.627 , -39.965
257 , 284 , 372 , 281 , 115.039 , 120.0 , 1.494 , 0.0 , 3.638 , -39.922
256 , 284 , 372 , 281 , 116.039 , 120.0 , 1.481 , 0.0 , 3.671 , -37.922
257 , 284 , 372 , 280 , 115.07 , 120.0 , 1.992 , 0.0 , 3.688 , -39.861
257 , 284 , 371 , 280 , 114.07 , 120.0 , 2.01 , 0.0 , 3.704 , -41.86
257 , 285 , 371 , 280 , 114.11 , 120.0 , 2.511 , 0.0 , 3.723 , -41.781
257 , 286 , 371 , 280 , 114.158 , 120.0 , 3.013 , 0.0 , 3.787 , -41.684
257 , 286 , 370 , 280 , 113.159 , 120.0 , 3.039 , 0.0 , 3.805 , -43.682
257 , 286 , 371 , 280 , 114.158 , 120.0 , 3.013 , 0.0 , 3.822 , -41.684
257 , 286 , 371 , 279 , 114.215 , 120.0 , 3.514 , 0.0 , 3.837 , -41.571
257 , 286 , 370 , 279 , 113.217 , 120.0 , 3.545 , 0.0 , 3.854 , -43.567
258 , 286 , 370 , 279 , 112.219 , 120.0 , 3.576 , 0.0 , 3.875 , -45.563
258 , 286 , 369 , 279 , 111.221 , 120.0 , 3.608 , 0.0 , 3.889 , -47.559
258 , 287 , 369 , 278 , 111.364 , 120.0 , 4.635 , 0.0 , 3.904 , -47.271
258 , 287 , 370 , 278 , 112.361 , 120.0 , 4.594 , 0.0 , 3.92 , -45.278
258 , 287 , 369 , 277 , 111.45 , 120.0 , 5.148 , 0.0 , 3.939 , -47.101
257 , 287 , 369 , 277 , 112.446 , 120.0 , 5.102 , 0.0 , 3.955 , -45.109
257 , 286 , 370 , 277 , 113.358 , 120.0 , 4.554 , 0.0 , 3.987 , -43.284
257 , 286 , 371 , 277 , 114.355 , 120.0 , 4.514 , 0.0 , 4.054 , -41.291
257 , 286 , 371 , 278 , 114.28 , 120.0 , 4.014 , 0.0 , 4.07 , -41.439
256 , 286 , 371 , 277 , 115.352 , 120.0 , 4.475 , 0.0 , 4.087 , -39.297
256 , 287 , 371 , 277 , 115.434 , 120.0 , 4.97 , 0.0 , 4.12 , -39.132
256 , 286 , 371 , 278 , 115.278 , 120.0 , 3.979 , 0.0 , 4.136 , -39.444
255 , 286 , 372 , 277 , 117.346 , 120.0 , 4.399 , 0.0 , 4.153 , -35.309
255 , 286 , 371 , 278 , 116.276 , 120.0 , 3.945 , 0.0 , 4.188 , -37.449
255 , 286 , 372 , 278 , 117.273 , 120.0 , 3.912 , 0.0 , 4.205 , -35.454
254 , 285 , 372 , 278 , 118.207 , 120.0 , 3.395 , 0.0 , 4.221 , -33.585
254 , 285 , 373 , 278 , 119.206 , 120.0 , 3.366 , 0.0 , 4.236 , -31.589
253 , 285 , 372 , 278 , 119.206 , 120.0 , 3.366 , 0.0 , 4.253 , -31.589
253 , 284 , 373 , 278 , 120.15 , 120.0 , 2.862 , 0.0 , 4.271 , 29.7
254 , 284 , 374 , 279 , 120.104 , 120.0 , 2.386 , 0.0 , 4.304 , 29.792
253 , 284 , 374 , 279 , 121.103 , 120.0 , 2.366 , 0.0 , 4.319 , 27.793
252 , 283 , 374 , 279 , 122.066 , 120.0 , 1.878 , 0.0 , 4.355 , 25.869
252 , 283 , 375 , 280 , 123.037 , 120.0 , 1.397 , 0.0 , 4.369 , 23.927
252 , 282 , 375 , 280 , 123.016 , 120.0 , 0.932 , 0.0 , 4.404 , 23.967
252 , 281 , 375 , 281 , 123.0 , 120.0 , 0.0 , 0.0 , 4.419 , 24.0
252 , 280 , 376 , 282 , 124.016 , 120.0 , -0.924 , 0.0 , 4.456 , 21.968
252 , 279 , 376 , 284 , 124.101 , 120.0 , -2.309 , 0.0 , 4.504 , 21.798
252 , 279 , 376 , 283 , 124.064 , 120.0 , -1.848 , 0.0 , 4.519 , 21.871
252 , 278 , 376 , 284 , 124.145 , 120.0 , -2.77 , 0.0 , 4.536 , 21.71
252 , 278 , 375 , 284 , 123.146 , 120.0 , -2.793 , 0.0 , 4.554 , 23.707
253 , 278 , 376 , 285 , 123.199 , 120.0 , -3.257 , 0.0 , 4.57 , 23.602
253 , 277 , 376 , 286 , 123.329 , 120.0 , -4.185 , 0.0 , 4.586 , 23.342
253 , 277 , 375 , 286 , 122.332 , 120.0 , -4.219 , 0.0 , 4.602 , 25.337
252 , 276 , 376 , 287 , 124.487 , 120.0 , -5.069 , 0.0 , 4.618 , 21.026
252 , 276 , 377 , 288 , 125.575 , 120.0 , -5.484 , 0.0 , 4.636 , 18.851
251 , 276 , 377 , 287 , 126.479 , 120.0 , -4.989 , 0.0 , 4.652 , 17.042
252 , 276 , 377 , 287 , 125.483 , 120.0 , -5.029 , 0.0 , 4.686 , 19.034
252 , 277 , 377 , 287 , 125.399 , 120.0 , -4.574 , 0.0 , 4.704 , 19.201
253 , 276 , 377 , 288 , 124.579 , 120.0 , -5.528 , 0.0 , 4.718 , 20.841
252 , 276 , 376 , 288 , 124.579 , 120.0 , -5.528 , 0.0 , 4.738 , 20.841
253 , 275 , 376 , 289 , 123.794 , 120.0 , -6.494 , 0.0 , 4.771 , 22.412
253 , 275 , 375 , 288 , 122.691 , 120.0 , -6.082 , 0.0 , 4.788 , 24.619
253 , 275 , 375 , 289 , 122.801 , 120.0 , -6.546 , 0.0 , 4.804 , 24.399
252 , 275 , 377 , 289 , 125.782 , 120.0 , -6.39 , 0.0 , 4.836 , 18.437
252 , 275 , 376 , 289 , 124.788 , 120.0 , -6.442 , 0.0 , 4.869 , 20.424
253 , 275 , 376 , 289 , 123.794 , 120.0 , -6.494 , 0.0 , 4.902 , 22.412
253 , 275 , 375 , 289 , 122.801 , 120.0 , -6.546 , 0.0 , 4.935 , 24.399
253 , 275 , 376 , 289 , 123.794 , 120.0 , -6.494 , 0.0 , 4.952 , 22.412
253 , 275 , 375 , 289 , 122.801 , 120.0 , -6.546 , 0.0 , 4.97 , 24.399
254 , 275 , 375 , 289 , 121.807 , 120.0 , -6.6 , 0.0 , 4.985 , 26.386
254 , 274 , 374 , 289 , 120.934 , 120.0 , -7.125 , 0.0 , 5.003 , 28.132
254 , 274 , 373 , 289 , 119.942 , 120.0 , -7.184 , 0.0 , 5.085 , 30.117
254 , 274 , 374 , 289 , 120.934 , 120.0 , -7.125 , 0.0 , 5.105 , 28.132
